sanction_source_id,kpi_id,period_date,period_granularity,value,numerator,denominator,source_url,evidence_date,evidence_quote,source_id,source_record_id,source_record_pk,metric_key,source_label,organismo,kpi_label,metric_formula,target_direction,expected_metrics,queue_key,queue_status,queue_priority,queue_next_action
es:sanctions:contencioso_sentencias,kpi:formal_annulment_rate,2025-12-31,year,,,,https://www.poderjudicial.es/,,,boe_api_legal,official_review:es-sanctions-contencioso-sentencias:kpi-formal-annulment-rate:2025-12-31:year,,kpi:formal_annulment_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,Contentious-administrative judgments,Poder Judicial,Formal annulment rate,anulaciones_formales_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:contencioso_sentencias|kpi:formal_annulment_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:contencioso_sentencias,kpi:recurso_estimation_rate,2025-12-31,year,,,,https://www.poderjudicial.es/,,,boe_api_legal,official_review:es-sanctions-contencioso-sentencias:kpi-recurso-estimation-rate:2025-12-31:year,,kpi:recurso_estimation_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,Contentious-administrative judgments,Poder Judicial,Resource estimation rate,recurso_estimado_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:contencioso_sentencias|kpi:recurso_estimation_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:contencioso_sentencias,kpi:resolution_delay_p90_days,2025-12-31,year,,,,https://www.poderjudicial.es/,,,boe_api_legal,official_review:es-sanctions-contencioso-sentencias:kpi-resolution-delay-p90-days:2025-12-31:year,,kpi:resolution_delay_p90_days|es:sanctions:contencioso_sentencias|2025-12-31|year,Contentious-administrative judgments,Poder Judicial,Resolution delay p90 (days),percentile_90(resolution_days),lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:contencioso_sentencias|kpi:resolution_delay_p90_days|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas,kpi:formal_annulment_rate,2025-12-31,year,,,,https://www.defensordelpueblo.es/,,,boe_api_legal,official_review:es-sanctions-defensor-pueblo-quejas:kpi-formal-annulment-rate:2025-12-31:year,,kpi:formal_annulment_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,Defensor del Pueblo complaints,Defensor del Pueblo,Formal annulment rate,anulaciones_formales_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:defensor_pueblo_quejas|kpi:formal_annulment_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas,kpi:recurso_estimation_rate,2025-12-31,year,,,,https://www.defensordelpueblo.es/,,,boe_api_legal,official_review:es-sanctions-defensor-pueblo-quejas:kpi-recurso-estimation-rate:2025-12-31:year,,kpi:recurso_estimation_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,Defensor del Pueblo complaints,Defensor del Pueblo,Resource estimation rate,recurso_estimado_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:defensor_pueblo_quejas|kpi:recurso_estimation_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas,kpi:resolution_delay_p90_days,2025-12-31,year,,,,https://www.defensordelpueblo.es/,,,boe_api_legal,official_review:es-sanctions-defensor-pueblo-quejas:kpi-resolution-delay-p90-days:2025-12-31:year,,kpi:resolution_delay_p90_days|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,Defensor del Pueblo complaints,Defensor del Pueblo,Resolution delay p90 (days),percentile_90(resolution_days),lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:defensor_pueblo_quejas|kpi:resolution_delay_p90_days|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions,kpi:formal_annulment_rate,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-teac-resolutions:kpi-formal-annulment-rate:2025-12-31:year,,kpi:formal_annulment_rate|es:sanctions:teac_resolutions|2025-12-31|year,TEAC resolutions,Tribunal Economico-Administrativo Central,Formal annulment rate,anulaciones_formales_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:teac_resolutions|kpi:formal_annulment_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions,kpi:recurso_estimation_rate,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-teac-resolutions:kpi-recurso-estimation-rate:2025-12-31:year,,kpi:recurso_estimation_rate|es:sanctions:teac_resolutions|2025-12-31|year,TEAC resolutions,Tribunal Economico-Administrativo Central,Resource estimation rate,recurso_estimado_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:teac_resolutions|kpi:recurso_estimation_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions,kpi:resolution_delay_p90_days,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-teac-resolutions:kpi-resolution-delay-p90-days:2025-12-31:year,,kpi:resolution_delay_p90_days|es:sanctions:teac_resolutions|2025-12-31|year,TEAC resolutions,Tribunal Economico-Administrativo Central,Resolution delay p90 (days),percentile_90(resolution_days),lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:teac_resolutions|kpi:resolution_delay_p90_days|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions,kpi:formal_annulment_rate,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-tear-resolutions:kpi-formal-annulment-rate:2025-12-31:year,,kpi:formal_annulment_rate|es:sanctions:tear_resolutions|2025-12-31|year,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,Formal annulment rate,anulaciones_formales_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:tear_resolutions|kpi:formal_annulment_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions,kpi:recurso_estimation_rate,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-tear-resolutions:kpi-recurso-estimation-rate:2025-12-31:year,,kpi:recurso_estimation_rate|es:sanctions:tear_resolutions|2025-12-31|year,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,Resource estimation rate,recurso_estimado_count / recurso_presentado_count,lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:tear_resolutions|kpi:recurso_estimation_rate|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions,kpi:resolution_delay_p90_days,2025-12-31,year,,,,https://sede.agenciatributaria.gob.es/,,,boe_api_legal,official_review:es-sanctions-tear-resolutions:kpi-resolution-delay-p90-days:2025-12-31:year,,kpi:resolution_delay_p90_days|es:sanctions:tear_resolutions|2025-12-31|year,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,Resolution delay p90 (days),percentile_90(resolution_days),lower_is_better,"recurso_presentado_count,recurso_estimado_count,anulaciones_formales_count,resolution_days",es:sanctions:tear_resolutions|kpi:resolution_delay_p90_days|2025-12-31|year,missing_metric,90,ingest_official_review_kpi_metric
