batch_id,doc_url,initiative_id,doc_kind,content_type,source_record_pk,raw_path
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-1-1.PDF,congreso:leg15:exp:121/000001/0000,pdf,application/pdf,141590,etl/data/raw/text_documents/parl_initiative_docs/dc3144d0028d9f37fc678445ad296897e471a01db5502485c501b02e8998f251.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-10-1.PDF,congreso:leg15:exp:121/000010/0000,pdf,application/pdf,141591,etl/data/raw/text_documents/parl_initiative_docs/9ebea9fbb1d9eac2f0c36c5abd46d1b907270041f20b73b0680bdc2f99f34b45.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-12-1.PDF,congreso:leg15:exp:121/000012/0000,pdf,application/pdf,141592,etl/data/raw/text_documents/parl_initiative_docs/0060cf5028803afda7a1fa0a8cd5e32cc277ab239549d7a8dbd684bed2e62244.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-13-1.PDF,congreso:leg15:exp:121/000013/0000,pdf,application/pdf,141593,etl/data/raw/text_documents/parl_initiative_docs/4fd8a62031a1cae26c8f8e80807ce4dd0dd7ccefdf958b88a42a4d05a8580d78.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-14-1.PDF,congreso:leg15:exp:121/000014/0000,pdf,application/pdf,141594,etl/data/raw/text_documents/parl_initiative_docs/6ff18cca45586e09b5fe2b802f202dde3c085d360d5d87851ee42d5e42a89059.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-15-1.PDF,congreso:leg15:exp:121/000015/0000,pdf,application/pdf,141595,etl/data/raw/text_documents/parl_initiative_docs/912708643710e101301126d1c048bd4e8bee760dfad81ea4e78ce9f7d008dfbe.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-4-1.PDF,congreso:leg15:exp:121/000004/0000,pdf,application/pdf,141596,etl/data/raw/text_documents/parl_initiative_docs/037ada8aaff15db8ff96601c28d7fb2eb662c8742d1e169aa7b8574c0c89b396.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-5-1.PDF,congreso:leg15:exp:121/000005/0000,pdf,application/pdf,141597,etl/data/raw/text_documents/parl_initiative_docs/34f4899bba0e9c6fd232581aea42adc668e81b92872fa6d71d579dd44678aefc.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-6-1.PDF,congreso:leg15:exp:121/000006/0000,pdf,application/pdf,141598,etl/data/raw/text_documents/parl_initiative_docs/7ad75184258f0ccd3e0886bbc587095e2dc354ea4f5c37c4f65500c0480d2510.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-9-1.PDF,congreso:leg15:exp:121/000009/0000,pdf,application/pdf,141599,etl/data/raw/text_documents/parl_initiative_docs/2a281ca73f8f38fde46e3505d3c5e2386bdc8c0b8ae88a90a285fea7ebec3e99.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/CO/DSCD-15-CO-142.PDF,congreso:leg15:exp:121/000006/0000,pdf,application/pdf,141600,etl/data/raw/text_documents/parl_initiative_docs/804baaa73d082c368c3543713fc7d741b41a02dd2ac71147a182f8c46fd51b99.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,congreso:leg15:exp:121/000012/0000,pdf,application/pdf,141601,etl/data/raw/text_documents/parl_initiative_docs/acaaf41f140cc9793bae4d4a97a369407ae5b7447ce445117177232f07c96f0c.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,congreso:leg15:exp:121/000005/0000,pdf,application/pdf,141602,etl/data/raw/text_documents/parl_initiative_docs/2c108c03f69e4094d985b7f5d3ba870b529333aaacc9632d84d007ddd9da7ae5.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,congreso:leg15:exp:122/000016/0000,pdf,application/pdf,141602,etl/data/raw/text_documents/parl_initiative_docs/2c108c03f69e4094d985b7f5d3ba870b529333aaacc9632d84d007ddd9da7ae5.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,congreso:leg15:exp:122/000018/0000,pdf,application/pdf,141602,etl/data/raw/text_documents/parl_initiative_docs/2c108c03f69e4094d985b7f5d3ba870b529333aaacc9632d84d007ddd9da7ae5.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-25.PDF,congreso:leg15:exp:121/000001/0000,pdf,application/pdf,141603,etl/data/raw/text_documents/parl_initiative_docs/0df9f8df762d46148b3ec9ef43558999c6f24837bfad7d5a72e4f1d6f70aa25d.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-31.PDF,congreso:leg15:exp:121/000004/0000,pdf,application/pdf,141604,etl/data/raw/text_documents/parl_initiative_docs/acc560cedd2897d446fdb650c708a90aab258507668f9afe6f5ec6cd12a25646.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,congreso:leg15:exp:121/000010/0000,pdf,application/pdf,141605,etl/data/raw/text_documents/parl_initiative_docs/80ecd88ed57e0e6818f5a9a27013d77f2c0005fc57a16bd56efbdb9d721f3b6f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,congreso:leg15:exp:121/000014/0000,pdf,application/pdf,141605,etl/data/raw/text_documents/parl_initiative_docs/80ecd88ed57e0e6818f5a9a27013d77f2c0005fc57a16bd56efbdb9d721f3b6f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,congreso:leg15:exp:121/000015/0000,pdf,application/pdf,141605,etl/data/raw/text_documents/parl_initiative_docs/80ecd88ed57e0e6818f5a9a27013d77f2c0005fc57a16bd56efbdb9d721f3b6f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-48.PDF,congreso:leg15:exp:121/000013/0000,pdf,application/pdf,141606,etl/data/raw/text_documents/parl_initiative_docs/53c0bdcfb787484f3ddc77542d1723e63c76e6f15d9a18482e7f246751e4ac01.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,congreso:leg15:exp:121/000009/0000,pdf,application/pdf,141607,etl/data/raw/text_documents/parl_initiative_docs/ee60a594613c7d128de461878842f1d3ae167696f928d689089f5d1e4b09971b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,congreso:leg15:exp:121/000023/0000,pdf,application/pdf,141607,etl/data/raw/text_documents/parl_initiative_docs/ee60a594613c7d128de461878842f1d3ae167696f928d689089f5d1e4b09971b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_013_2025_conv.pdf,congreso:ley:13:2025,pdf,application/pdf,141608,etl/data/raw/text_documents/parl_initiative_docs/03f82a7e817044aad0e2debb7c69e1ef3f0fec5925c2a6874bd6036ee99425cb.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_016_2025.pdf,congreso:ley:16:2025,pdf,application/pdf,141609,etl/data/raw/text_documents/parl_initiative_docs/04c8aa245e22613a7f10884704768c1b13860add3eae5c7cba91f7e42ad19e1c.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_017_2025.pdf,congreso:ley:17:2025,pdf,application/pdf,141610,etl/data/raw/text_documents/parl_initiative_docs/196af39ab59a1cc270754a0d425d7dd817cc25e1db9b1eec3797818b28c70b57.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-286-1.PDF,congreso:leg15:exp:122/000241/0000,pdf,application/pdf,141611,etl/data/raw/text_documents/parl_initiative_docs/f75be0fc127140ece36f79c6797e860c363ede0824dd82f92c1e55c8a5378ccd.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-97-1.PDF,congreso:leg15:exp:122/000083/0000,pdf,application/pdf,141612,etl/data/raw/text_documents/parl_initiative_docs/e5a819565cf5bff7ea8e2228c45b7a5f09c62399920b13d86e8d7b31d597fcbf.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,congreso:leg15:exp:122/000083/0000,pdf,application/pdf,141613,etl/data/raw/text_documents/parl_initiative_docs/96efa6975ecbf0227f8fab5ef099b5843e7e523e596e9367188a0ac16617ff0e.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,congreso:leg15:exp:121/000017/0000,pdf,application/pdf,141613,etl/data/raw/text_documents/parl_initiative_docs/96efa6975ecbf0227f8fab5ef099b5843e7e523e596e9367188a0ac16617ff0e.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,congreso:leg15:exp:122/000119/0000,pdf,application/pdf,141613,etl/data/raw/text_documents/parl_initiative_docs/96efa6975ecbf0227f8fab5ef099b5843e7e523e596e9367188a0ac16617ff0e.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,congreso:ley:1:2025,pdf,application/pdf,141614,etl/data/raw/text_documents/parl_initiative_docs/e43a2dcd25158942618bf1ca163980ee67981ec9ee63ebe0709920b4db17f017.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2025.pdf,congreso:ley:2:2025,pdf,application/pdf,141615,etl/data/raw/text_documents/parl_initiative_docs/93e9f661b6b3a35ea132c5393bd101ba0e5c0505aac269e4d2b0eafc9b44f466.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,congreso:ley:3:2025,pdf,application/pdf,141616,etl/data/raw/text_documents/parl_initiative_docs/54a65622120dd6d249b8b2eb7305ac925924b6c49ab8aef22f39a5915b8c9803.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_005_2024.pdf,congreso:ley:5:2024,pdf,application/pdf,141617,etl/data/raw/text_documents/parl_initiative_docs/f8d1c9589c2f90c686983862a669b8e8c3a95cc8c6121b259fd5f90878e46525.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_006_2024.pdf,congreso:ley:6:2024,pdf,application/pdf,141618,etl/data/raw/text_documents/parl_initiative_docs/9c8a54948a4d5740990f3544c74866133d6d7c7256e251f1f106e78e91adbb6c.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_004_2025_conv.pdf,congreso:ley:4:2025,pdf,application/pdf,141619,etl/data/raw/text_documents/parl_initiative_docs/432e90fdc6599e71b10c58f5a78859dc8300a2c5303c78c5c4b88768b63a429a.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_005_2025_corr.pdf,congreso:ley:5:2025,pdf,application/pdf,141620,etl/data/raw/text_documents/parl_initiative_docs/5b2daa6bc74a2ff8c7ffdb8aaef5a959e10e852dfa8c0fd9f2c1b2c0e003d33e.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,congreso:ley:6:2025,pdf,application/pdf,141621,etl/data/raw/text_documents/parl_initiative_docs/0a472fcf99a844851cd28d8eb9fa85878834b0ad34838f9383295e17b9f5f3ef.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,congreso:ley:7:2024,pdf,application/pdf,141622,etl/data/raw/text_documents/parl_initiative_docs/a912bc192db0225baac9761493ffbf324fabbf0e0ac0299129b9e0c18e97b01b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2025_der.pdf,congreso:ley:7:2025,pdf,application/pdf,141623,etl/data/raw/text_documents/parl_initiative_docs/c8d4354edf4fe2cabc21b3330d14598909df8aedf068d7103bda346d6f8e9706.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2024_corr.pdf,congreso:ley:8:2024,pdf,application/pdf,141624,etl/data/raw/text_documents/parl_initiative_docs/a0141139a91ab6d2d79007c1a997c5053c83830ec09c5fb24cda8b1aa70c9e3d.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2025_conv.pdf,congreso:ley:8:2025,pdf,application/pdf,141625,etl/data/raw/text_documents/parl_initiative_docs/30fb3b443a059afbcb135b949145e4e1039238ad60ffc600cebeb2b01fe1dc64.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2024_derog.pdf,congreso:ley:9:2024,pdf,application/pdf,141626,etl/data/raw/text_documents/parl_initiative_docs/9fd57c95c80455eb111ed9b71f9963747c81d50ea261156f021fa174e1a27c58.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2025_conv.pdf,congreso:ley:9:2025,pdf,application/pdf,141627,etl/data/raw/text_documents/parl_initiative_docs/baa82a989247509de8814e5d8821288ab01e4f41ff22c27755854d10edbd3ad7.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2024_derog.pdf,congreso:ley:10:2024,pdf,application/pdf,141628,etl/data/raw/text_documents/parl_initiative_docs/03382857a2b9ca07fbaf02ada8da94160c942cb311df4cced9cce7da1e7bc4ff.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2025_conv.pdf,congreso:ley:10:2025,pdf,application/pdf,141629,etl/data/raw/text_documents/parl_initiative_docs/110ee4709ae5bbbd60d6c92741bd2ec899482ac07e462efb71148f8fef873a2c.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2024.pdf,congreso:ley:11:2024,pdf,application/pdf,141630,etl/data/raw/text_documents/parl_initiative_docs/70093310b429e6c26b5c315dca806b701434b5858860a4395474e0ce1fcf8c49.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2025_conv.pdf,congreso:ley:11:2025,pdf,application/pdf,141631,etl/data/raw/text_documents/parl_initiative_docs/5caff863673abc7d64d331c21d8b1f75cfd04bc4ebef7d050b6e14456c6274f4.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_012_2025.pdf,congreso:ley:12:2025,pdf,application/pdf,141632,etl/data/raw/text_documents/parl_initiative_docs/ed15095b5ec8b1c368b26c8e357032ef248cacada8d1e8877cb161a90b9f2317.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_014_2025.pdf,congreso:ley:14:2025,pdf,application/pdf,141633,etl/data/raw/text_documents/parl_initiative_docs/b686710668a8a7faf7ba5e95c237581ccb58098fddbd1d946adddf244be3f324.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_015_2025_conv.pdf,congreso:ley:15:2025,pdf,application/pdf,141634,etl/data/raw/text_documents/parl_initiative_docs/918c25606967d6ad8b706944b9c74dfa2cd7659832e472b2c3685b3c7c39224f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-1.PDF,congreso:leg15:exp:121/000016/0000,pdf,application/pdf,141635,etl/data/raw/text_documents/parl_initiative_docs/7280c23af50fe7fb2194816f430f736a5ebbce255c0342bbb4bbb3d88e4c146f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-2.PDF,congreso:leg15:exp:121/000016/0000,pdf,application/pdf,141636,etl/data/raw/text_documents/parl_initiative_docs/6d7892c1456bea49d71f86359ee6a7d6f196c817784a62475c8f2f40b7488bae.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-1.PDF,congreso:leg15:exp:121/000018/0000,pdf,application/pdf,141637,etl/data/raw/text_documents/parl_initiative_docs/6bcc619061465cda917b473c058ec5c624864b01d2b77851cfd0eac574284bce.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-2.PDF,congreso:leg15:exp:121/000018/0000,pdf,application/pdf,141638,etl/data/raw/text_documents/parl_initiative_docs/4465199f1c2ebdcd3aae7ff0479bccabebbaa7a828dc00184dbba71c0e336238.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-1.PDF,congreso:leg15:exp:121/000020/0000,pdf,application/pdf,141639,etl/data/raw/text_documents/parl_initiative_docs/eb521215be2d6e7b1cfcae7c27f7d930efe7481b8e2dea299614ef8e95a9865b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-2.PDF,congreso:leg15:exp:121/000020/0000,pdf,application/pdf,141640,etl/data/raw/text_documents/parl_initiative_docs/9dea43221541f21a0bb049765a775d385bded75ab35c1d61c08276d11d532f1f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-1.PDF,congreso:leg15:exp:121/000023/0000,pdf,application/pdf,141641,etl/data/raw/text_documents/parl_initiative_docs/23f14123ffd271fdb2edf327ebf5faf325d6f2828aaeb50ef21ed6dea4bbb954.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-2.PDF,congreso:leg15:exp:121/000023/0000,pdf,application/pdf,141642,etl/data/raw/text_documents/parl_initiative_docs/fb6d397d245c5b65fa27eeb63e06f2e2ca35ca8232364607fb3d877a44f47a73.pdf
