batch_id,unit_type,unit_id,title,excerpt,source_url,allowed_concerns_json
factory-20260219-lane_d-001,parl_initiative_doc,141590,Iniciativa congreso:leg15:exp:121/000001/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000001/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-1-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-1-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141591,Iniciativa congreso:leg15:exp:121/000010/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000010/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-10-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-10-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141592,Iniciativa congreso:leg15:exp:121/000012/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000012/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-12-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-12-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141593,Iniciativa congreso:leg15:exp:121/000013/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000013/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-13-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-13-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141594,Iniciativa congreso:leg15:exp:121/000014/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000014/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-14-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-14-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141595,Iniciativa congreso:leg15:exp:121/000015/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000015/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-15-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-15-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141596,Iniciativa congreso:leg15:exp:121/000004/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000004/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-4-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-4-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141597,Iniciativa congreso:leg15:exp:121/000005/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000005/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-5-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-5-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141598,Iniciativa congreso:leg15:exp:121/000006/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000006/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-6-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-6-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141599,Iniciativa congreso:leg15:exp:121/000009/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000009/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-9-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-9-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141600,Iniciativa congreso:leg15:exp:121/000006/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000006/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/CO/DSCD-15-CO-142.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/CO/DSCD-15-CO-142.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141601,Iniciativa congreso:leg15:exp:121/000012/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000012/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:121/000005/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000005/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:122/000016/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000016/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:122/000018/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000018/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141603,Iniciativa congreso:leg15:exp:121/000001/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000001/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-25.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-25.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141604,Iniciativa congreso:leg15:exp:121/000004/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000004/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-31.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-31.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000010/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000010/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000014/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000014/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000015/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000015/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141606,Iniciativa congreso:leg15:exp:121/000013/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000013/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-48.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-48.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141607,Iniciativa congreso:leg15:exp:121/000009/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000009/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141607,Iniciativa congreso:leg15:exp:121/000023/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000023/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141608,Iniciativa congreso:ley:13:2025,Documento pdf vinculado a iniciativa congreso:ley:13:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_013_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_013_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141609,Iniciativa congreso:ley:16:2025,Documento pdf vinculado a iniciativa congreso:ley:16:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_016_2025.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_016_2025.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141610,Iniciativa congreso:ley:17:2025,Documento pdf vinculado a iniciativa congreso:ley:17:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_017_2025.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_017_2025.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141611,Iniciativa congreso:leg15:exp:122/000241/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000241/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-286-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-286-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141612,Iniciativa congreso:leg15:exp:122/000083/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000083/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-97-1.PDF,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-97-1.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141613,Iniciativa congreso:leg15:exp:122/000083/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000083/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141613,Iniciativa congreso:leg15:exp:121/000017/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000017/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141613,Iniciativa congreso:leg15:exp:122/000119/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000119/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141614,Iniciativa congreso:ley:1:2025,Documento pdf vinculado a iniciativa congreso:ley:1:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141615,Iniciativa congreso:ley:2:2025,Documento pdf vinculado a iniciativa congreso:ley:2:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2025.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2025.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141616,Iniciativa congreso:ley:3:2025,Documento pdf vinculado a iniciativa congreso:ley:3:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141617,Iniciativa congreso:ley:5:2024,Documento pdf vinculado a iniciativa congreso:ley:5:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_005_2024.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_005_2024.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141618,Iniciativa congreso:ley:6:2024,Documento pdf vinculado a iniciativa congreso:ley:6:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_006_2024.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_006_2024.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141619,Iniciativa congreso:ley:4:2025,Documento pdf vinculado a iniciativa congreso:ley:4:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_004_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_004_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141620,Iniciativa congreso:ley:5:2025,Documento pdf vinculado a iniciativa congreso:ley:5:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_005_2025_corr.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_005_2025_corr.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141621,Iniciativa congreso:ley:6:2025,Documento pdf vinculado a iniciativa congreso:ley:6:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141622,Iniciativa congreso:ley:7:2024,Documento pdf vinculado a iniciativa congreso:ley:7:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
