batch_id,policy_event_id,policy_axis_key,final_direction,final_intensity,final_confidence,agreement_ratio,adjudicator_note
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260210-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260210-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260203-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260203-referencia-rueda-de-prensa-ministros.aspx,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260127-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260127-referencia-rueda-de-prensa-ministros.aspx,vivienda,0,0.35,0.45,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260120-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260120-referencia-rueda-de-prensa-ministros.aspx,igualdad,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260113-referencia-rueda-de-prensa-ministros.aspx,coste_vida,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260107-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251223-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251216-referencia-rueda-de-prensa-ministros.aspx,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251209-referencia-rueda-de-prensa-ministros.aspx,educacion,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251202-referencia-rueda-de-prensa-ministros.aspx,energia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251125-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251118-referencia-rueda-de-prensa-ministros.aspx,energia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251111-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251104-referencia-rueda-de-prensa-ministros.aspx,campo_rural,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251028-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251021-referencia-rueda-de-prensa-ministros.aspx,seguridad_justicia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251014-referencia-rueda-de-prensa-ministros.aspx,transporte,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251007-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20250930-referencia-rueda-de-prensa-ministros.aspx,energia,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20250923-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:exp_2026_0003:902ce203059f,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:exp_2026_0002:6ed468ccb4c2,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:exp_2026_0001:4b7d196e3266,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_9528219:8566a5feecda,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_7140663:58062248822b,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048381:2d017853fe4d,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048380:362c33707dfb,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048379:fa98358a6778,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048378:125a610b595d,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048377:dded0d6c56a2,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048376:6c5d8813b737,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048375:e029b886dbbb,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048374:8e0731a94711,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048373:d53a9f64637b,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048372:1eabc2d80804,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048371:7046b5008eec,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048370:c73a984896e8,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048369:baa7c36f97fc,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048368:98eadcd8989a,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048367:bb7f34f47e29,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048366:794986105882,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048365:1b22bed26506,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048364:dc332bc9ded7,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048363:2618c2ae1033,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048362:b82690fa4c97,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048361:4309ac219bab,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048360:ba0570db6312,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048359:75dff5a9f1d4,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048358:d850cb1fbc8a,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048357:968caf90731d,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048356:2d175622535f,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048355:daea328f640a,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048354:075c9c02ac3f,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19048353:29e121dea9e3,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19035225:86614dcc30c8,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19035134:e4f73fcce0eb,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19026116:07857c1ee079,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19026071:e5405aa399ef,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_19008589:f9d0544f675a,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18997099:46dac8182f17,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18981282:4251acf68f49,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18981230:9fb2eb363318,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18973102:5c80f1c090c1,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18964481:c9911029ef12,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18943143:ae6445150c9a,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18934627:39aaa8aca079,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18934343:533bac871795,empleo,0,0.35,0.45,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18934290:6f7c240e079e,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18888243:b616e355705b,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18877094:8f22b2f41eab,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18876756:fa069adcb7db,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18833988:5f5d763c3fb3,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18819393:c07256a1116f,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18802721:b62a35f7db3b,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18802588:d747f1b3adbd,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18802575:fbaa98431969,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18793694:6b4c036ca8a9,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18793651:44ec8724d58e,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18793326:35f55852eb9e,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18788072:4f190544f9f8,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18787651:bf860b62d50d,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18735610:137a376c6362,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18735475:405cb2a0a1bc,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18735474:e95606c272e9,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18723545:4cb65fd893f5,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18703888:a3e317638e4e,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18703796:f7cdfa840a10,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18690335:d3220c23e369,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18689926:ba848041b386,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18592309:2c6ee01f6fdf,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18580554:6d41dac78cf5,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18555846:4b5d03cb69be,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18516606:943877742dbd,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507480:4224ef68cb6b,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507285:235af03094ad,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507176:8ec13b297048,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18498939:ebcfa739a4e5,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477533:d0debc61247b,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477288:52ba4f6ce8db,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477166:e723a9254d05,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18467523:739df44ecb69,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18458891:dcc24639bfaa,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18421167:858278e8ec36,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18420942:10aba33525df,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18412379:8a062047ae62,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18360156:2a6a91a0109d,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18320522:7fa778fb10b8,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18320264:1bc6a9e6c552,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18309252:3175dfccc435,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18303326:78e2906b2a00,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18293828:488c5657f8d3,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18242483:9ee283c02bc7,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18210758:8eb424b87e5d,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18184155:c5dc703735e2,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18171521:19ffad7a02a7,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,money:placsp:placsp_sindicacion:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18171330:0f312ad2a810,empleo,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
