initiative_id,doc_kind,doc_url,source_record_pk,source_url,content_type,bytes,raw_path,fetched_at,needs_text_extraction
senado:leg10:exp:621/000055,bocg,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000055.xml,144735,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000055.xml,text/xml,215166,etl/data/raw/text_documents/parl_initiative_docs/ab46f8f7bfe3adbc2e0458faea574c217f5769c03489533cd0d658cfee45c0c5.bin,2026-02-20T12:02:10+00:00,1
senado:leg10:exp:621/000004,bocg,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000004.xml,144659,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000004.xml,text/xml,179667,etl/data/raw/text_documents/parl_initiative_docs/e9f3101d156cb7843eef794a1086c38954986dbde1957d9f947f67afeea5e869.bin,2026-02-20T12:01:21+00:00,1
senado:leg10:exp:621/000019,bocg,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000019.xml,144697,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000019.xml,text/xml,175671,etl/data/raw/text_documents/parl_initiative_docs/424cee29018afdc0e5f8ea3dc21d26074008c34b475683b563c078b79187e8dd.bin,2026-02-20T12:01:40+00:00,1
senado:leg14:exp:621/000067,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000067,148377,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000067,text/xml; charset=UTF-8,159693,etl/data/raw/text_documents/parl_initiative_docs/188ba765a58c49f5d35bfd9c02e83f3f079dcb0a467275f73ee8cef754e27567.bin,2026-02-21T09:25:06+00:00,1
senado:leg14:exp:621/000067,ds,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000067,148604,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000067,text/xml; charset=UTF-8,158533,etl/data/raw/text_documents/parl_initiative_docs/90f388dab73be06e7bfd90d47650d7a0a83fa2f334f5188eb34313de0be1443b.bin,2026-02-21T09:29:29+00:00,1
senado:leg12:exp:621/000002,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000002,141883,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000002,text/xml; charset=UTF-8,153045,etl/data/raw/text_documents/parl_initiative_docs/7e639ca2c795c78c6a076a46fcf4e84e730b78ac88c56405fc1d9b1748912ad6.bin,2026-02-18T09:45:52+00:00,1
senado:leg14:exp:621/000036,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000036,148630,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000036,text/xml; charset=UTF-8,152609,etl/data/raw/text_documents/parl_initiative_docs/eea8a00a8c7e1e3b23645d4d5d84dfed45722048705a16b71e51f8fb45011285.bin,2026-02-21T09:29:29+00:00,1
senado:leg12:exp:621/000010,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000010,148916,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000010,text/xml; charset=UTF-8,146983,etl/data/raw/text_documents/parl_initiative_docs/618b82959a579edec19bae8625e4cf7b5784af48f5d69b2ff78d33fe77e30af2.bin,2026-02-21T09:32:08+00:00,1
senado:leg12:exp:621/000002,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=621&numEx=000002,141879,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=621&numEx=000002,text/xml; charset=UTF-8,143311,etl/data/raw/text_documents/parl_initiative_docs/689424e364eb798faaf6638b45e700be2141b4bffa6658461e166e555220f877.bin,2026-02-18T09:45:52+00:00,1
senado:leg14:exp:621/000082,ds,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000082,148825,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000082,text/xml; charset=UTF-8,122989,etl/data/raw/text_documents/parl_initiative_docs/49e57ef8940ef596a1d8d91f9e2cf6f9d86cfbff4060536f538bd533e47623d2.bin,2026-02-21T09:32:08+00:00,1
senado:leg14:exp:621/000042,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000042,148633,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000042,text/xml; charset=UTF-8,119190,etl/data/raw/text_documents/parl_initiative_docs/3140265ac6dab50c74df5f12d95e98a8ccb7f19aab9ba98466158d003614f6ac.bin,2026-02-21T09:29:29+00:00,1
senado:leg14:exp:621/000013,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000013,148623,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000013,text/xml; charset=UTF-8,118536,etl/data/raw/text_documents/parl_initiative_docs/1b66442cf5552c25f58e0173f5aa172182fd6a6a201895b84004f7c12fd406c6.bin,2026-02-21T09:29:29+00:00,1
senado:leg8:exp:621/000076,bocg,http://www.senado.es/legis8/expedientes/621/xml/INI-3-621000076.xml,147880,http://www.senado.es/legis8/expedientes/621/xml/INI-3-621000076.xml,text/xml,110183,etl/data/raw/text_documents/parl_initiative_docs/abcdb35f85c6f740508df1c47f64e8900f8980b8182086835a80461d492abf8b.bin,2026-02-21T07:50:42+00:00,1
senado:leg14:exp:621/000020,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000020,145548,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000020,text/xml; charset=UTF-8,106873,etl/data/raw/text_documents/parl_initiative_docs/2b40ece29347d3af88a49e45381c4fa80188b67fc990543f559cd9533ed0720c.bin,2026-02-20T12:30:03+00:00,1
senado:leg10:exp:621/000100,bocg,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000100.xml,144783,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000100.xml,text/xml,104702,etl/data/raw/text_documents/parl_initiative_docs/9c272f17b64e236a99cb7671131195e0557af336efe3d238285f0030cd0b3ea7.bin,2026-02-20T12:02:47+00:00,1
senado:leg14:exp:621/000082,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000082,148713,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000082,text/xml; charset=UTF-8,98713,etl/data/raw/text_documents/parl_initiative_docs/dadd7a474b55bcdae82581db04883d11400cc3ca98a6af54b98f274dcdfd1b3a.bin,2026-02-21T09:29:29+00:00,1
senado:leg8:exp:621/000034,bocg,http://www.senado.es/legis8/expedientes/621/xml/INI-3-621000034.xml,147828,http://www.senado.es/legis8/expedientes/621/xml/INI-3-621000034.xml,text/xml,94695,etl/data/raw/text_documents/parl_initiative_docs/db9e21ca21a2776df1ca3d8afa681a57e7479ad71cab172082176c3673f36d96.bin,2026-02-21T07:50:11+00:00,1
senado:leg14:exp:621/000080,ds,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000080,148823,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000080,text/xml; charset=UTF-8,94277,etl/data/raw/text_documents/parl_initiative_docs/f6836faf616bcbe9005fdeca4289a4056c8668127ba97609b40717b29bb4fed7.bin,2026-02-21T09:32:08+00:00,1
senado:leg10:exp:621/000159,bocg,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000159.xml,144842,http://www.senado.es/legis10/expedientes/621/xml/INI-3-621000159.xml,text/xml,94219,etl/data/raw/text_documents/parl_initiative_docs/7563f212357411b027eeda131cb3d974f50d51fcb32cdb1a2d3f9557db8b0837.bin,2026-02-20T12:03:21+00:00,1
senado:leg14:exp:621/000057,ds,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000057,148598,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000057,text/xml; charset=UTF-8,92544,etl/data/raw/text_documents/parl_initiative_docs/4bc093dc2d5dae0acea75af49e1136ed631be72e8f8839f656092a792719748a.bin,2026-02-21T09:29:29+00:00,1
senado:leg14:exp:621/000080,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000080,148711,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000080,text/xml; charset=UTF-8,79596,etl/data/raw/text_documents/parl_initiative_docs/c0ae1c6a97928c2f2db24a0a8b1ff636b6b0123d199e23020efcd36426f80830.bin,2026-02-21T09:29:29+00:00,1
senado:leg9:exp:621/000030,bocg,http://www.senado.es/legis9/expedientes/621/xml/INI-3-621000030.xml,144296,http://www.senado.es/legis9/expedientes/621/xml/INI-3-621000030.xml,text/xml,78312,etl/data/raw/text_documents/parl_initiative_docs/5d5ef66688f3351c2f0b077e7b17525946d1dd933bb13c521561276b786fbe14.bin,2026-02-20T11:50:21+00:00,1
senado:leg14:exp:621/000089,ds,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000089,148829,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=12&tipoEx=621&numEx=000089,text/xml; charset=UTF-8,78154,etl/data/raw/text_documents/parl_initiative_docs/f39eca7080d4863057afccf7ad87be83c57c068c486a0c2ca4d55e17fec06ab9.bin,2026-02-21T09:32:08+00:00,1
senado:leg14:exp:621/000057,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000057,148367,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000057,text/xml; charset=UTF-8,76697,etl/data/raw/text_documents/parl_initiative_docs/d89a7cdb1437f47fafae3f01b6075b580ecc8c22eab21399452484be97c939de.bin,2026-02-21T09:25:06+00:00,1
senado:leg14:exp:621/000021,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000021,148625,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000021,text/xml; charset=UTF-8,71303,etl/data/raw/text_documents/parl_initiative_docs/83c91f3744e6fd530b2e8c5766d0e34ddd03f62f79706b640ffd8dd788126906.bin,2026-02-21T09:29:29+00:00,1
